"block","plot","com","pool","uind","fdiv","light","sp","div","h.slope"
"B1","B1.Ya04","cg","Y","B1.Ya04|i-01","D1","c","cg",1,2
"B1","B1.Ya04","cg","Y","B1.Ya04|i-02","D1","c","cg",1,0.927472527472528
"B1","B1.Ya04","cg","Y","B1.Ya04|i-03","D1","c","cg",1,4.91421568627451
"B1","B1.Ya04","cg","Y","B1.Ya04|i-04","D1","c","cg",1,0
"B1","B1.Ya04","cg","Y","B1.Ya04|i-05","D1","c","cg",1,2.38602941176471
"B1","B1.Ya04","cg","Y","B1.Ya04|i-06","D1","c","cg",1,2.5453431372549
"B1","B1.Ya04","cg","Y","B1.Ya04|i-07","D1","c","cg",1,0.599999999999999
"B1","B1.Ya04","cg","Y","B1.Ya04|i-08","D1","c","cg",1,1.9093137254902
"B1","B1.Ya04","cg","Y","B1.Ya04|i-09","D1","c","cg",1,5.82107843137255
"B1","B1.Ya04","cg","Y","B1.Ya04|i-10","D1","c","cg",1,0.0999999999999994
"B1","B1.Ya04","cg","Y","B1.Ya04|i-11","D1","c","cg",1,1.65686274509804
"B1","B1.Ya04","cg","Y","B1.Ya04|i-12","D1","c","cg",1,NA
"B1","B1.Ya04","cg","Y","B1.Ya04|i-13","D1","c","cg",1,3.57843137254902
"B1","B1.Ya04","cg","Y","B1.Ya04|i-14","D1","c","cg",1,-7.69185074553426e-16
"B1","B1.Ya04","cg","Y","B1.Ya04|i-15","D1","c","cg",1,2.85049019607843
"B1","B1.Ya04","cg","Y","B1.Ya04|i-16","D1","c","cg",1,-0.999999999999998
"B2","B2.Ya04","cg","Y","B2.Ya04|i-01","D1","c","cg",1,1.61559024807528
"B2","B2.Ya04","cg","Y","B2.Ya04|i-02","D1","c","cg",1,1.85416666666667
"B2","B2.Ya04","cg","Y","B2.Ya04|i-03","D1","c","cg",1,NA
"B2","B2.Ya04","cg","Y","B2.Ya04|i-04","D1","c","cg",1,3.01838235294118
"B2","B2.Ya04","cg","Y","B2.Ya04|i-05","D1","c","cg",1,1.05147058823529
"B2","B2.Ya04","cg","Y","B2.Ya04|i-06","D1","c","cg",1,1.25
"B2","B2.Ya04","cg","Y","B2.Ya04|i-07","D1","c","cg",1,3.18872549019608
"B2","B2.Ya04","cg","Y","B2.Ya04|i-08","D1","c","cg",1,0.0549450549450547
"B2","B2.Ya04","cg","Y","B2.Ya04|i-09","D1","c","cg",1,0.499999999999999
"B2","B2.Ya04","cg","Y","B2.Ya04|i-10","D1","c","cg",1,0.575824175824176
"B2","B2.Ya04","cg","Y","B2.Ya04|i-11","D1","c","cg",1,3.44730392156863
"B2","B2.Ya04","cg","Y","B2.Ya04|i-12","D1","c","cg",1,0.85
"B2","B2.Ya04","cg","Y","B2.Ya04|i-13","D1","c","cg",1,0.8
"B2","B2.Ya04","cg","Y","B2.Ya04|i-14","D1","c","cg",1,NA
"B2","B2.Ya04","cg","Y","B2.Ya04|i-15","D1","c","cg",1,3.4210358056266
"B2","B2.Ya04","cg","Y","B2.Ya04|i-16","D1","c","cg",1,3.13970588235294
"B3","B3.Ya04","cg","Y","B3.Ya04|i-01","D1","c","cg",1,1.97303921568627
"B3","B3.Ya04","cg","Y","B3.Ya04|i-02","D1","c","cg",1,1.41421568627451
"B3","B3.Ya04","cg","Y","B3.Ya04|i-03","D1","c","cg",1,3.5796568627451
"B3","B3.Ya04","cg","Y","B3.Ya04|i-04","D1","c","cg",1,7.5
"B3","B3.Ya04","cg","Y","B3.Ya04|i-05","D1","c","cg",1,2.10661764705882
"B3","B3.Ya04","cg","Y","B3.Ya04|i-06","D1","c","cg",1,1.34558823529412
"B3","B3.Ya04","cg","Y","B3.Ya04|i-07","D1","c","cg",1,NA
"B3","B3.Ya04","cg","Y","B3.Ya04|i-08","D1","c","cg",1,NA
"B3","B3.Ya04","cg","Y","B3.Ya04|i-09","D1","c","cg",1,2.17647058823529
"B3","B3.Ya04","cg","Y","B3.Ya04|i-10","D1","c","cg",1,0.95
"B3","B3.Ya04","cg","Y","B3.Ya04|i-11","D1","c","cg",1,1.85553892215569
"B3","B3.Ya04","cg","Y","B3.Ya04|i-12","D1","c","cg",1,0.75
"B3","B3.Ya04","cg","Y","B3.Ya04|i-13","D1","c","cg",1,3
"B3","B3.Ya04","cg","Y","B3.Ya04|i-14","D1","c","cg",1,4.74632352941176
"B3","B3.Ya04","cg","Y","B3.Ya04|i-15","D1","c","cg",1,0.333333333333333
"B3","B3.Ya04","cg","Y","B3.Ya04|i-16","D1","c","cg",1,0.666666666666668
"B4","B4.Ya04","cg","Y","B4.Ya04|i-01","D1","c","cg",1,0.292838874680307
"B4","B4.Ya04","cg","Y","B4.Ya04|i-02","D1","c","cg",1,0.547252747252747
"B4","B4.Ya04","cg","Y","B4.Ya04|i-03","D1","c","cg",1,0.853846153846154
"B4","B4.Ya04","cg","Y","B4.Ya04|i-04","D1","c","cg",1,2.1
"B4","B4.Ya04","cg","Y","B4.Ya04|i-05","D1","c","cg",1,1
"B4","B4.Ya04","cg","Y","B4.Ya04|i-06","D1","c","cg",1,1.3
"B4","B4.Ya04","cg","Y","B4.Ya04|i-07","D1","c","cg",1,2.55164835164835
"B4","B4.Ya04","cg","Y","B4.Ya04|i-08","D1","c","cg",1,1.1
"B4","B4.Ya04","cg","Y","B4.Ya04|i-09","D1","c","cg",1,0.416959578207381
"B4","B4.Ya04","cg","Y","B4.Ya04|i-10","D1","c","cg",1,0.507692307692308
"B4","B4.Ya04","cg","Y","B4.Ya04|i-11","D1","c","cg",1,0.162637362637362
"B4","B4.Ya04","cg","Y","B4.Ya04|i-12","D1","c","cg",1,1.4
"B4","B4.Ya04","cg","Y","B4.Ya04|i-13","D1","c","cg",1,1.75
"B4","B4.Ya04","cg","Y","B4.Ya04|i-14","D1","c","cg",1,0.9
"B4","B4.Ya04","cg","Y","B4.Ya04|i-15","D1","c","cg",1,1.3
"B4","B4.Ya04","cg","Y","B4.Ya04|i-16","D1","c","cg",1,0.566692975532754
"B1","B1.Ya07","cg|cl","Y","B1.Ya07|i-02","D2","c","cg",2,1.55
"B1","B1.Ya07","cg|cl","Y","B1.Ya07|i-04","D2","c","cg",2,0.3
"B1","B1.Ya07","cg|cl","Y","B1.Ya07|i-05","D2","c","cg",2,2.05392156862745
"B1","B1.Ya07","cg|cl","Y","B1.Ya07|i-07","D2","c","cg",2,4.78676470588235
"B1","B1.Ya07","cg|cl","Y","B1.Ya07|i-10","D2","c","cg",2,0.249999999999999
"B1","B1.Ya07","cg|cl","Y","B1.Ya07|i-12","D2","c","cg",2,2.55514705882353
"B1","B1.Ya07","cg|cl","Y","B1.Ya07|i-13","D2","c","cg",2,-2.5
"B1","B1.Ya07","cg|cl","Y","B1.Ya07|i-15","D2","c","cg",2,-0.999999999999999
"B1","B1.Ya09","cg|pm","Y","B1.Ya09|i-02","D2","c","cg",2,4.57352941176471
"B1","B1.Ya09","cg|pm","Y","B1.Ya09|i-04","D2","c","cg",2,2.15
"B1","B1.Ya09","cg|pm","Y","B1.Ya09|i-05","D2","c","cg",2,NA
"B1","B1.Ya09","cg|pm","Y","B1.Ya09|i-07","D2","c","cg",2,1.83946078431373
"B1","B1.Ya09","cg|pm","Y","B1.Ya09|i-10","D2","c","cg",2,4.0625
"B1","B1.Ya09","cg|pm","Y","B1.Ya09|i-12","D2","c","cg",2,NA
"B1","B1.Ya09","cg|pm","Y","B1.Ya09|i-13","D2","c","cg",2,1.25
"B1","B1.Ya09","cg|pm","Y","B1.Ya09|i-15","D2","c","cg",2,1
"B1","B1.Ya10","cg|dh","Y","B1.Ya10|i-02","D2","c","cg",2,1.01348039215686
"B1","B1.Ya10","cg|dh","Y","B1.Ya10|i-04","D2","c","cg",2,0.786764705882353
"B1","B1.Ya10","cg|dh","Y","B1.Ya10|i-05","D2","c","cg",2,3.21078431372549
"B1","B1.Ya10","cg|dh","Y","B1.Ya10|i-07","D2","c","cg",2,-0.250000000000001
"B1","B1.Ya10","cg|dh","Y","B1.Ya10|i-10","D2","c","cg",2,5.36887254901961
"B1","B1.Ya10","cg|dh","Y","B1.Ya10|i-12","D2","c","cg",2,-0.257142857142858
"B1","B1.Ya10","cg|dh","Y","B1.Ya10|i-13","D2","c","cg",2,1.5
"B1","B1.Ya10","cg|dh","Y","B1.Ya10|i-15","D2","c","cg",2,NA
"B2","B2.Ya07","cg|cl","Y","B2.Ya07|i-03","D2","c","cg",2,NA
"B2","B2.Ya07","cg|cl","Y","B2.Ya07|i-06","D2","c","cg",2,NA
"B2","B2.Ya07","cg|cl","Y","B2.Ya07|i-07","D2","c","cg",2,-0.999999999999998
"B2","B2.Ya07","cg|cl","Y","B2.Ya07|i-08","D2","c","cg",2,0.481318681318681
"B2","B2.Ya07","cg|cl","Y","B2.Ya07|i-09","D2","c","cg",2,0.676470588235294
"B2","B2.Ya07","cg|cl","Y","B2.Ya07|i-12","D2","c","cg",2,NA
"B2","B2.Ya07","cg|cl","Y","B2.Ya07|i-13","D2","c","cg",2,1.77941176470588
"B2","B2.Ya07","cg|cl","Y","B2.Ya07|i-16","D2","c","cg",2,-7.69185074553426e-16
"B2","B2.Ya09","cg|pm","Y","B2.Ya09|i-01","D2","c","cg",2,0.535539215686275
"B2","B2.Ya09","cg|pm","Y","B2.Ya09|i-02","D2","c","cg",2,0.5
"B2","B2.Ya09","cg|pm","Y","B2.Ya09|i-04","D2","c","cg",2,3.06862745098039
"B2","B2.Ya09","cg|pm","Y","B2.Ya09|i-05","D2","c","cg",2,0.689010989010989
"B2","B2.Ya09","cg|pm","Y","B2.Ya09|i-10","D2","c","cg",2,0.749999999999999
"B2","B2.Ya09","cg|pm","Y","B2.Ya09|i-11","D2","c","cg",2,0.90563725490196
"B2","B2.Ya09","cg|pm","Y","B2.Ya09|i-14","D2","c","cg",2,0.514285714285714
"B2","B2.Ya09","cg|pm","Y","B2.Ya09|i-15","D2","c","cg",2,1.18504901960784
"B2","B2.Ya10","cg|dh","Y","B2.Ya10|i-01","D2","c","cg",2,NA
"B2","B2.Ya10","cg|dh","Y","B2.Ya10|i-02","D2","c","cg",2,1
"B2","B2.Ya10","cg|dh","Y","B2.Ya10|i-04","D2","c","cg",2,-0.999999999999998
"B2","B2.Ya10","cg|dh","Y","B2.Ya10|i-05","D2","c","cg",2,0.622549019607843
"B2","B2.Ya10","cg|dh","Y","B2.Ya10|i-10","D2","c","cg",2,1.83627450980392
"B2","B2.Ya10","cg|dh","Y","B2.Ya10|i-11","D2","c","cg",2,0.333333333333334
"B2","B2.Ya10","cg|dh","Y","B2.Ya10|i-14","D2","c","cg",2,2.10906862745098
"B2","B2.Ya10","cg|dh","Y","B2.Ya10|i-15","D2","c","cg",2,4.9828431372549
"B3","B3.Ya07","cg|cl","Y","B3.Ya07|i-01","D2","c","cg",2,0.604411764705882
"B3","B3.Ya07","cg|cl","Y","B3.Ya07|i-02","D2","c","cg",2,4.00735294117647
"B3","B3.Ya07","cg|cl","Y","B3.Ya07|i-04","D2","c","cg",2,2.51176470588235
"B3","B3.Ya07","cg|cl","Y","B3.Ya07|i-05","D2","c","cg",2,1.48823529411765
"B3","B3.Ya07","cg|cl","Y","B3.Ya07|i-10","D2","c","cg",2,NA
"B3","B3.Ya07","cg|cl","Y","B3.Ya07|i-11","D2","c","cg",2,NA
"B3","B3.Ya07","cg|cl","Y","B3.Ya07|i-14","D2","c","cg",2,2.59558823529412
"B3","B3.Ya07","cg|cl","Y","B3.Ya07|i-15","D2","c","cg",2,NA
"B3","B3.Ya09","cg|pm","Y","B3.Ya09|i-03","D2","c","cg",2,1.5
"B3","B3.Ya09","cg|pm","Y","B3.Ya09|i-06","D2","c","cg",2,0.249999999999999
"B3","B3.Ya09","cg|pm","Y","B3.Ya09|i-07","D2","c","cg",2,0.0153452685421995
"B3","B3.Ya09","cg|pm","Y","B3.Ya09|i-08","D2","c","cg",2,1.55392156862745
"B3","B3.Ya09","cg|pm","Y","B3.Ya09|i-09","D2","c","cg",2,0.999999999999998
"B3","B3.Ya09","cg|pm","Y","B3.Ya09|i-12","D2","c","cg",2,6.30882352941176
"B3","B3.Ya09","cg|pm","Y","B3.Ya09|i-13","D2","c","cg",2,4.23529411764706
"B3","B3.Ya09","cg|pm","Y","B3.Ya09|i-16","D2","c","cg",2,-0.250000000000001
"B3","B3.Ya10","cg|dh","Y","B3.Ya10|i-03","D2","c","cg",2,2.33088235294118
