"block","plot","div","fdiv","light","com","cg","ch","cl","cm","cs","dh","ed","lg","pm","qs","sm","ss","ba"
"B1","B1.Xa03",1,"D1","c","ch",0,1,0,0,0,0,0,0,0,0,0,0,5.84139884026852
"B2","B2.Xa03",1,"D1","c","ch",0,1,0,0,0,0,0,0,0,0,0,0,7.70671947833746
"B3","B3.Xa03",1,"D1","c","ch",0,1,0,0,0,0,0,0,0,0,0,0,8.88678021884213
"B4","B4.Xa03",1,"D1","c","ch",0,1,0,0,0,0,0,0,0,0,0,0,10.7206849303752
"B1","B1.Xb03",1,"D1","s","ch",0,1,0,0,0,0,0,0,0,0,0,0,0.905171383315559
"B2","B2.Xb03",1,"D1","s","ch",0,1,0,0,0,0,0,0,0,0,0,0,4.3707407793068
"B3","B3.Xb03",1,"D1","s","ch",0,1,0,0,0,0,0,0,0,0,0,0,3.7856191475757
"B4","B4.Xb03",1,"D1","s","ch",0,1,0,0,0,0,0,0,0,0,0,0,2.41313585703866
"B1","B1.Xa02",1,"D1","c","ed",0,0,0,0,0,0,1,0,0,0,0,0,42.4684421903085
"B2","B2.Xa02",1,"D1","c","ed",0,0,0,0,0,0,1,0,0,0,0,0,30.3242230887755
"B3","B3.Xa02",1,"D1","c","ed",0,0,0,0,0,0,1,0,0,0,0,0,37.0570488445001
"B4","B4.Xa02",1,"D1","c","ed",0,0,0,0,0,0,1,0,0,0,0,0,49.1718155149057
"B1","B1.Xb02",1,"D1","s","ed",0,0,0,0,0,0,1,0,0,0,0,0,24.9776250914474
"B2","B2.Xb02",1,"D1","s","ed",0,0,0,0,0,0,1,0,0,0,0,0,14.633931279503
"B3","B3.Xb02",1,"D1","s","ed",0,0,0,0,0,0,1,0,0,0,0,0,19.6820779747401
"B4","B4.Xb02",1,"D1","s","ed",0,0,0,0,0,0,1,0,0,0,0,0,17.7519619881908
"B1","B1.Xa08",2,"D2","c","ch|ed",0,1,0,0,0,0,1,0,0,0,0,0,18.623753949562
"B2","B2.Xa08",2,"D2","c","ch|ed",0,1,0,0,0,0,1,0,0,0,0,0,21.1625535127442
